experiment_id,model_group,model_description,vectoriser_model,specific_model_name,module_strategy,embeddings_rebuilt,main_success,vectoriser_success,evaluator_success,total_duration_minutes,vectoriser_duration_minutes,evaluator_duration_minutes,map_mean,map_std,mrr_mean,mrr_std,recall_5_mean,recall_10_mean,recall_20_mean,recall_50_mean,timestamp,notes
M01S01,1,Word2Vec (custom trained),own,default,avg,True,True,True,True,249.4109110077222,202.03235830068587,0.2638956030209859,0.1724,0.2033,0.1917,0.2438,0.2428,0.4107,0.5746,0.8971,20250910_152735,
M01S02,1,Word2Vec (custom trained),own,default,sum,False,True,False,True,0.08461665709813436,0,0.08403338193893432,0.1588,0.1784,0.1772,0.2231,0.2174,0.3883,0.5619,0.895,20250910_193700,
M01S03,1,Word2Vec (custom trained),own,default,median,False,True,False,True,0.08332087596257527,0,0.08280425071716309,0.1726,0.2077,0.1932,0.2508,0.239,0.4022,0.5633,0.8917,20250910_193705,
M01S04,1,Word2Vec (custom trained),own,default,weighted_avg,False,True,False,True,0.0828314224878947,0,0.08231484095255534,0.1706,0.2032,0.1907,0.2462,0.2237,0.388,0.5657,0.891,20250910_193710,
M01S05,1,Word2Vec (custom trained),own,default,cluster,False,True,False,True,0.08609997034072876,0,0.08551669120788574,0.1712,0.2001,0.1899,0.2384,0.2369,0.4063,0.5925,0.893,20250910_193715,
M02S01,2,FastText (pretrained),fast_text,default,avg,True,True,True,True,2.4428965568542482,1.6568415959676106,0.7849717299143474,0.2533,0.2851,0.2799,0.3142,0.318,0.5045,0.7336,0.98,20250910_193720,
M02S02,2,FastText (pretrained),fast_text,default,sum,False,True,False,True,0.8056053002675374,0,0.8046719431877136,0.2533,0.2851,0.2799,0.3142,0.318,0.5045,0.7336,0.98,20250910_193947,
M02S03,2,FastText (pretrained),fast_text,default,median,False,True,False,True,0.8157052238782246,0,0.8142884731292724,0.2533,0.2851,0.2799,0.3142,0.318,0.5045,0.7336,0.98,20250910_194035,
M02S04,2,FastText (pretrained),fast_text,default,weighted_avg,False,True,False,True,0.8325808445612589,0,0.8313308318456014,0.2533,0.2851,0.2799,0.3142,0.318,0.5045,0.7336,0.98,20250910_194124,
M02S05,2,FastText (pretrained),fast_text,default,cluster,False,True,False,True,0.8096841494242351,0,0.8090397000312806,0.2533,0.2851,0.2799,0.3142,0.318,0.5045,0.7336,0.98,20250910_194214,
M03S01,3,GloVe (6B.100d),glove,default,avg,True,True,True,True,1.4508005062739053,1.1072498997052511,0.3429339567820231,0.2431,0.2509,0.2828,0.3069,0.3247,0.5007,0.7313,0.9874,20250910_194303,
M03S02,3,GloVe (6B.100d),glove,default,sum,False,True,False,True,0.35010316769282024,0,0.34948662519454954,0.2431,0.2509,0.2828,0.3069,0.3247,0.5007,0.7313,0.9874,20250910_194430,
M03S03,3,GloVe (6B.100d),glove,default,median,False,True,False,True,0.34841862122217815,0,0.34781693617502846,0.2431,0.2509,0.2828,0.3069,0.3247,0.5007,0.7313,0.9874,20250910_194451,
M03S04,3,GloVe (6B.100d),glove,default,weighted_avg,False,True,False,True,0.34593902826309203,0,0.34540572166442873,0.2431,0.2509,0.2828,0.3069,0.3247,0.5007,0.7313,0.9874,20250910_194512,
M03S05,3,GloVe (6B.100d),glove,default,cluster,False,True,False,True,0.3424117962519328,0,0.34186188379923504,0.2431,0.2509,0.2828,0.3069,0.3247,0.5007,0.7313,0.9874,20250910_194533,
M04S01,4,BERT (base-uncased),bert,bert-base-uncased,avg,True,True,True,True,29.055788083871207,28.517493224143983,0.5376448591550191,0.2207,0.2429,0.2568,0.2864,0.3073,0.4878,0.6966,0.9806,20250910_194553,
M04S02,4,BERT (base-uncased),bert,bert-base-uncased,sum,False,True,False,True,0.5681432366371155,0,0.5674931804339091,0.2207,0.2429,0.2568,0.2864,0.3073,0.4878,0.6966,0.9806,20250910_201457,
M04S03,4,BERT (base-uncased),bert,bert-base-uncased,median,False,True,False,True,0.5511356512705485,0,0.5505855798721313,0.2207,0.2429,0.2568,0.2864,0.3073,0.4878,0.6966,0.9806,20250910_201531,
M04S04,4,BERT (base-uncased),bert,bert-base-uncased,weighted_avg,False,True,False,True,0.5538427074750264,0,0.5532427589098613,0.2207,0.2429,0.2568,0.2864,0.3073,0.4878,0.6966,0.9806,20250910_201604,
M04S05,4,BERT (base-uncased),bert,bert-base-uncased,cluster,False,True,False,True,0.5645324468612671,0,0.5639156858126323,0.2207,0.2429,0.2568,0.2864,0.3073,0.4878,0.6966,0.9806,20250910_201638,
M05S01,5,RoBERTa (base),bert,roberta-base,avg,True,True,True,True,28.281253798802695,27.735888957977295,0.5442649920781454,0.2027,0.2382,0.2277,0.2761,0.2472,0.4331,0.666,0.9721,20250910_201711,
M05S02,5,RoBERTa (base),bert,roberta-base,sum,False,True,False,True,0.5587332129478455,0,0.5580000122388203,0.2027,0.2382,0.2277,0.2761,0.2472,0.4331,0.666,0.9721,20250910_204529,
M05S03,5,RoBERTa (base),bert,roberta-base,median,False,True,False,True,0.5537638545036316,0,0.5531471927960714,0.2027,0.2382,0.2277,0.2761,0.2472,0.4331,0.666,0.9721,20250910_204602,
M05S04,5,RoBERTa (base),bert,roberta-base,weighted_avg,False,True,False,True,0.5520766655604045,0,0.5515100200970967,0.2027,0.2382,0.2277,0.2761,0.2472,0.4331,0.666,0.9721,20250910_204636,
M05S05,5,RoBERTa (base),bert,roberta-base,cluster,False,True,False,True,0.5640522003173828,0,0.5635022004445394,0.2027,0.2382,0.2277,0.2761,0.2472,0.4331,0.666,0.9721,20250910_204709,
M06S01,6,CodeBERT (microsoft),bert,microsoft/codebert-base,avg,True,True,True,True,27.86369278828303,27.314327637354534,0.5483315706253051,0.1859,0.2262,0.2093,0.2702,0.2251,0.3737,0.6533,0.9591,20250910_204743,
M06S02,6,CodeBERT (microsoft),bert,microsoft/codebert-base,sum,False,True,False,True,0.5550166447957356,0,0.5543999354044596,0.1859,0.2262,0.2093,0.2702,0.2251,0.3737,0.6533,0.9591,20250910_211535,
M06S03,6,CodeBERT (microsoft),bert,microsoft/codebert-base,median,False,True,False,True,0.5490000009536743,0,0.5483332991600036,0.1859,0.2262,0.2093,0.2702,0.2251,0.3737,0.6533,0.9591,20250910_211608,
M06S04,6,CodeBERT (microsoft),bert,microsoft/codebert-base,weighted_avg,False,True,False,True,0.5727810700734456,0,0.5717476884524028,0.1859,0.2262,0.2093,0.2702,0.2251,0.3737,0.6533,0.9591,20250910_211641,
M06S05,6,CodeBERT (microsoft),bert,microsoft/codebert-base,cluster,False,True,False,True,0.5748031934102377,0,0.57401997645696,0.1859,0.2262,0.2093,0.2702,0.2251,0.3737,0.6533,0.9591,20250910_211716,
M07S01,7,MPNet (all-mpnet-base-v2),llm,sentence-transformers/all-mpnet-base-v2,avg,True,True,True,True,31.141063197453818,30.55461004972458,0.5857531507809957,0.3025,0.2963,0.36,0.3536,0.4065,0.578,0.7503,0.9535,20250910_211751,
M07S02,7,MPNet (all-mpnet-base-v2),llm,sentence-transformers/all-mpnet-base-v2,sum,False,True,False,True,0.6015400807062785,0,0.6010234077771505,0.3025,0.2963,0.36,0.3536,0.4065,0.578,0.7503,0.9535,20250910_214859,
M07S03,7,MPNet (all-mpnet-base-v2),llm,sentence-transformers/all-mpnet-base-v2,median,False,True,False,True,0.5926021416982015,0,0.5918992598851521,0.3025,0.2963,0.36,0.3536,0.4065,0.578,0.7503,0.9535,20250910_214936,
M07S04,7,MPNet (all-mpnet-base-v2),llm,sentence-transformers/all-mpnet-base-v2,weighted_avg,False,True,False,True,0.5991332650184631,0,0.5985667665799459,0.3025,0.2963,0.36,0.3536,0.4065,0.578,0.7503,0.9535,20250910_215011,
M07S05,7,MPNet (all-mpnet-base-v2),llm,sentence-transformers/all-mpnet-base-v2,cluster,False,True,False,True,0.6047265529632568,0,0.6040934046109517,0.3025,0.2963,0.36,0.3536,0.4065,0.578,0.7503,0.9535,20250910_215048,
M08S01,8,BGE (large-en-v1.5),llm,BAAI/bge-large-en-v1.5,avg,True,True,True,True,97.40008223851522,96.03439493576685,1.3646039724349976,0.3611,0.3113,0.4306,0.3768,0.4662,0.618,0.7966,0.9842,20250910_215124,
M08S02,8,BGE (large-en-v1.5),llm,BAAI/bge-large-en-v1.5,sum,False,True,False,True,1.375223124027252,0,1.3745731989542642,0.3611,0.3113,0.4306,0.3768,0.4662,0.618,0.7966,0.9842,20250910_232848,
M08S03,8,BGE (large-en-v1.5),llm,BAAI/bge-large-en-v1.5,median,False,True,False,True,1.3871263066927593,0,1.386492927869161,0.3611,0.3113,0.4306,0.3768,0.4662,0.618,0.7966,0.9842,20250910_233011,
M08S04,8,BGE (large-en-v1.5),llm,BAAI/bge-large-en-v1.5,weighted_avg,False,True,False,True,1.3703025579452515,0,1.3697357972462971,0.3611,0.3113,0.4306,0.3768,0.4662,0.618,0.7966,0.9842,20250910_233135,
M08S05,8,BGE (large-en-v1.5),llm,BAAI/bge-large-en-v1.5,cluster,False,True,False,True,1.3601333220799765,0,1.3595167438189188,0.3611,0.3113,0.4306,0.3768,0.4662,0.618,0.7966,0.9842,20250910_233257,
M09S01,9,MS MARCO (distilbert-base-v4),llm,sentence-transformers/msmarco-distilbert-base-v4,avg,True,True,True,True,15.672551409403484,15.266851353645325,0.4050499677658081,0.3043,0.2942,0.3583,0.3511,0.4038,0.5355,0.7498,0.9761,20250910_233419,
M09S02,9,MS MARCO (distilbert-base-v4),llm,sentence-transformers/msmarco-distilbert-base-v4,sum,False,True,False,True,0.4162425676981608,0,0.41563640435536703,0.3043,0.2942,0.3583,0.3511,0.4038,0.5355,0.7498,0.9761,20250910_234959,
M09S03,9,MS MARCO (distilbert-base-v4),llm,sentence-transformers/msmarco-distilbert-base-v4,median,False,True,False,True,0.4175667444864909,0,0.4170500715573629,0.3043,0.2942,0.3583,0.3511,0.4038,0.5355,0.7498,0.9761,20250910_235025,
M09S04,9,MS MARCO (distilbert-base-v4),llm,sentence-transformers/msmarco-distilbert-base-v4,weighted_avg,False,True,False,True,0.4164267381032308,0,0.4157933831214905,0.3043,0.2942,0.3583,0.3511,0.4038,0.5355,0.7498,0.9761,20250910_235050,
M09S05,9,MS MARCO (distilbert-base-v4),llm,sentence-transformers/msmarco-distilbert-base-v4,cluster,False,True,False,True,0.4177000363667806,0,0.41710001627604165,0.3043,0.2942,0.3583,0.3511,0.4038,0.5355,0.7498,0.9761,20250910_235115,
